chts_vid,dvmt
11245842,6.484368
11245851,58.873767
11246471,30.654003
11246472,20.124675
11246711,10.060312
11246921,1.588129
11247271,6.63553
11247272,2.192485
11247361,66.08276
11247541,61.698755
11247542,284.239883
11247691,32.525085
11247692,3.309997
11247712,63.416267
11247871,26.666454
11247931,32.528592
11247961,27.18514267
11248361,49.456485
11248592,75.885953
11248801,8.178233
11249571,25.588926
11249901,26.713508
11249902,4.352091
11250311,84.452736
11250701,14.438051
11250911,23.150086
11251212,18.851174
11252161,17.601583
11252162,13.372545
11252272,4.682456
11252311,25.612273
11252571,35.045401
11252691,153.256603
11253091,58.464516
11253092,7.148562
11253221,11.428926
11253341,23.375724
11253621,19.106019
11253622,4.199104
11253711,16.669157
11254221,15.989901
11254222,15.403235
11254231,9.677923
11254232,4.727201
11254501,14.536873
11254681,4.822303
11254682,3.020644
11254921,16.464775
11254922,35.957494
11255442,5.175542
11255851,44.624041
11255852,35.782702
11256281,46.973806
11256291,5.07335
11256521,7.429884
11256691,11.419577
11257541,31.220158
11257542,15.610079
11258431,7.49334
11258432,4.489965
11259641,2.229481
11260001,5.766799
11260141,11.924877
11260301,15.451254
11261001,59.680412
11261411,5.696196
11262021,18.04442
11262022,45.27114
11262051,14.458441
11262481,67.192464
11262483,33.232304
11262651,2.97037
11262691,4.042144
11262792,10.017234
11262931,1.682915
11263711,17.548122
11264601,61.977149
11264961,22.245008
11264981,50.244919
11264982,21.414649
11265011,12.163253
11265012,20.471375
11265221,28.024136
11265602,30.402308
11265603,25.831141
11265672,5.708201
11266051,0.281458
11266052,54.644672
11267061,171.05535
11267063,85.436575
11267601,244.953288
11267602,41.00576
11268191,11.463242
11268491,7.537948
11268531,6.288705
11268532,21.73294
11269291,14.035878
11269292,144.872279
11269391,22.187627
11269921,91.081131
11270041,41.956137
11270042,22.439609
11270043,10.075792
11270481,31.918821
11270482,27.515614
11270483,16.082679
11271241,4.802638
11271331,21.47808
11271391,11.17666
11271781,53.49562
11271782,62.890965
11272202,247.979896
11272251,20.563444
11272721,16.446749
11272722,69.852312
11272941,111.358833
11273061,33.214266
11273371,9.796164
11274071,69.349385
11274491,12.591406
11274492,28.84819
11274811,12.921659
11274921,37.672407
11275111,2.533834
11275113,6.298305
11275421,18.575352
11275993,540.560365
11276261,43.391723
11276461,17.971301
11276462,20.424759
11277141,9.584893333
11277142,3.800802
11277571,7.746363
11278431,1.24937
11278632,41.165097
11278633,8.152576
11279752,1.009056
11279851,57.115285
11280231,14.906159
11280501,42.29342
11280791,23.857175
11280881,48.04823
11281022,21.180128
11281141,1.815796
11281821,7.711706
11281951,17.69746
11282051,15.850815
11282481,33.647888
11282483,51.345091
11282551,49.192028
11282552,47.88072
11282553,8.906095
11282671,13.449807
11282881,9.635465
11283231,81.207415
11283232,25.761689
